Station,District,Elevation,2016,2017,2018,2019,2020,2021,2022
Sikta,Banke,161,1392.3,1916.8,NA,NA,1590.3,2045.7,1727
Gwati,Dailekh,1472,2676,2415.1,2590.1,2775.2,4110.1,2596,2537.6
Ranimatta,Dailekh,2157,NA,NA,NA,NA,2297.1,1923.5,2470.8
Dadimadi,DAilekh,1281,1590.1,1774.8,1445.9,1425.4,1869.9,2091.6,2492.5
Katti,Dailekh,1224,1629.1,1937.3,833,742.9,1851,3064.8,2165.4
Badhichaur,Surkhet,535,1398.3,1433.6,1758,1487.3,1598.9,1603.6,1969.3
Pipalchaur,Rukum West,783,NA,NA,NA,NA,NA,2306.3,2236.2
Jagtipur,Jajarkot,1386,943.2,966.6,1034,1071.7,NA,1312.5,1292
Khanikhola,Surkhet,1335,1166.4,1069.6,1021.3,1287.9,1481,1711.2,1635.8
Rakam,Surkhet,565,627.5,734.8,787.7,840.4,864.9,1064.8,924.5
Mehalkuna,Surkhet,464,1310.7,1441.6,1203.6,1201.1,1418.3,1577.1,1633.4
Kalidamar,Surkhet,635,1432.4,1630,1349.4,1325,1542.8,1669.5,1882.6
Kumalgaun,Bardiya,144,1262.6,1591.2,1279.8,1284.9,1891.6,1296.4,1660.8
Taratal,Bardiya,141,1054.2,1055.5,1333.5,1153.5,2237.7,2771.4,1699.4
Rambhapur,Bardiya,150,1683.2,1660.2,1433,1209.3,1811.7,1727.2,1952.2
Manpur,Bardiya,132,1321,1192.8,1230.9,1456.1,0,1553.9,1533.6
Dhakeri,Banke,153,1511.3,1692,1416.9,1222.3,1950.5,2026.9,1592.4
Belmar,Banke,134,1021.4,972.4,901.3,1154.3,1188.4,1112.2,1227.3
Bhagawanpur,Banke,137,817.8,1033.2,1454.7,1406.1,1145.6,1703.8,1198.2
Samajhighat Bheri Pul ,Surkhet,NA,1451.3,1387.9,1128.6,1226.8,1264.8,1362.1,1420.6
Trishuli At Betrawati,Nuwakot,NA,NA,NA,1346.7,808.7,1502.9,1230.7,NA
Narayani At Devghat,Chitwan,NA,2354.4,NA,2279.6,NA,NA,NA,NA
Rajaiya Rainfall Station ,Makawanpur,NA,NA,672.7,1904.5,2428.8,2324.5,2314.6,1935.3
Rukumkot,Rukum (East),1568,1784.3,1692.8,1408.4,1965,1961.9,1950,2135
Shera Gaun,Rukum,2170,1089.9,1013,1167.4,NA,360.9,1729.7,2883.7
Libang Gaun,Rolpa,1314,1442.4,NA,1229.6,1373.1,NA,NA,NA
Bijuwar Tar,Pyuthan,835,1776.5,1060.7,890.2,1115.4,1135.1,1831.8,1382.7
Nayabasti Dang ,Dang,685,1646.2,1831.6,1862,1721.6,1399.6,2313.5,2124.1
Tulsipur,Dang,683,1788.2,NA,1458.8,1542,2156.7,NA,NA
Koilabas,Dang,200,1194.8,1400.4,1570.3,1174,1595.1,NA,NA
Salyan Bazar,Salyan,1557,891.1,782,854.1,1017.9,1137.3,1213.6,1108.6
Chaurjhari Tar,Rukum,863,1256.2,NA,1404.4,1239.2,NA,NA,NA
Musikot Rukumkot ,Rukum,1412,2099.7,2068.1,2308.5,2174.6,2262,2283.6,2438.7
Ghorai Dang ,Dang,663,1585.5,1607.3,1434.5,1198.3,1906.4,2157.8,1904
Kotjhari,Rukum,1142,2155.2,1659.6,1597.2,1048.5,NA,1604.1,1095.2
Kabreneta,Salyan,1143,1378.5,1309.2,1555,1646.5,1627.9,1646,1511
Tharmare,Salyan,1338,1100.6,1073.9,1350.8,1281.2,1319.9,1575.8,1253.5
Keur Gaun,Rolpa,2145,1423.5,1399.5,1517.4,1346.6,1859.3,NA,1306.8
Rulbang Juwang ,Rolpa,1046,NA,1450.1,1348.8,1463.1,1897.2,1928.2,1466.7
Jyamire,Salyan,649,1899.2,2398,2295.1,1773.1,1642.2,2269.1,1531.1
Seulibang,Pyuthan,1685,3246.6,NA,1461.7,2569.7,NA,NA,NA
Rampur Kalimati,Salyan,696,1398.7,1625.2,1878.4,NA,1602.5,1937,1624.4
Sulichour Sarichour ,Rolpa,845,1676.7,1111,1289.1,1215.9,1699,1797.8,1211.8
Phopli,Pyuthan,1641,3601.4,2445.5,2299.9,2755.3,2796.6,2689.4,2309.3
Swargdwari,Pyuthan,1232,1442.9,1117.2,610.3,836.8,1144,1779.1,1146
Ambapur,Dang,599,1233.5,1642.8,1193.6,1053.9,1868.6,1862.5,1374.7
Sukhabare,Dang,586,993.8,NA,1096.6,862.7,NA,NA,NA
Ratamata,Dang,457,1261.4,1104.2,1066.4,727.4,1586.2,NA,1564.5
Hanspur,Pyuthan,742,2155.6,1549.4,1375.7,1442.6,2329,2183.2,1966.3
Rampur Beljhundi ,Dang,649,1546.4,1443.9,1569.3,344.4,1894.7,1801.6,1754.9
Gangadi,Dang,216,1198.4,1661.2,1308.5,1078,NA,1781.1,1914.8
